subj_no,stim_cond,percept_acc,d-prime,c,beta,conf_resp,c_conf_resp,ic_conf_resp,percept_rt,conf_rt,threshold,exp_cond
8,6.0,0.5555555555555556,0.45593067506096296,0.9926750113168685,1.572380932344558,2.125,2.15,2.09375,756.625,492.25,3.840583434780649,noise_low
8,7.0,0.5277777777777778,0.1752538759366088,0.6770827358180826,1.1259885644745649,2.236111111111111,2.1842105263157894,2.2941176470588234,619.6111111111111,415.6111111111111,3.840583434780649,tilt_low
8,8.0,0.75,1.984190745374013,0.9224104523685508,6.23537226489141,2.2083333333333335,2.2037037037037037,2.2222222222222223,739.2777777777778,485.7361111111111,3.840583434780649,tilt_high
8,9.0,0.6180555555555556,0.7423762454775902,0.6534042698013033,1.6242916427558245,2.138888888888889,2.168539325842697,2.090909090909091,2202.2986111111113,1412.7777777777778,3.840583434780649,baseline
9,1.0,0.5694444444444444,0.49586911022698055,0.8373903529632686,1.514728188353233,2.0972222222222223,2.1707317073170733,2.0,698.2361111111111,400.84722222222223,3.8885657604039854,size_low
9,2.0,0.7083333333333334,1.2903252691658058,0.5754777142644472,2.101294191467875,2.8055555555555554,2.8627450980392157,2.6666666666666665,729.4305555555555,400.625,3.8885657604039854,size_high
9,3.0,0.6805555555555556,1.243283828218776,0.7613522129912501,2.5768736329979918,2.763888888888889,2.7755102040816326,2.739130434782609,663.8333333333334,382.4166666666667,3.8885657604039854,dur_low
9,4.0,0.6111111111111112,0.8745060679912815,0.9457410931049973,2.2865778807808836,2.9722222222222223,3.1136363636363638,2.75,729.6944444444445,383.5833333333333,3.8885657604039854,dur_high
9,5.0,0.2638888888888889,-1.26394554804586,-0.0425169761731517,1.0552093072526918,1.2638888888888888,1.1578947368421053,1.3018867924528301,750.2222222222222,362.3333333333333,3.8885657604039854,noise_high
9,6.0,0.7083333333333334,1.7747955261736952,1.0271080619687096,6.189824866223226,2.7222222222222223,2.7450980392156863,2.6666666666666665,656.375,402.5,3.8885657604039854,noise_low
9,7.0,0.5694444444444444,0.49586911022698055,0.8373903529632686,1.514728188353233,2.861111111111111,2.902439024390244,2.806451612903226,618.2777777777778,380.7083333333333,3.8885657604039854,tilt_low
9,8.0,0.8611111111111112,2.7898663790598106,0.805477391680127,9.46096412791893,3.0972222222222223,3.161290322580645,2.7,690.3055555555555,405.5416666666667,3.8885657604039854,tilt_high
9,9.0,0.6944444444444444,1.4535085191411885,0.8664645584524564,3.5233548469798697,3.0069444444444446,3.11,2.772727272727273,686.3402777777778,394.56944444444446,3.8885657604039854,baseline
10,1.0,0.6944444444444444,1.3133092067821823,-0.7263395237095469,0.38523244110750793,2.8333333333333335,2.9,2.6818181818181817,649.6805555555555,414.0416666666667,4.288358634467116,size_low
10,2.0,0.8055555555555556,1.8914821862099946,-0.43725303399564075,0.43733476493636525,3.3055555555555554,3.396551724137931,2.9285714285714284,595.2222222222222,280.44444444444446,4.288358634467116,size_high
10,3.0,0.7361111111111112,1.3675410551392668,-0.4015543805071252,0.577444987297569,3.125,3.2452830188679247,2.789473684210526,671.6666666666666,358.97222222222223,4.288358634467116,dur_low
10,4.0,0.8194444444444444,1.8951300990434312,-0.27307529932563396,0.5960008301448306,3.2777777777777777,3.3559322033898304,2.923076923076923,664.8333333333334,335.93055555555554,4.288358634467116,dur_high
10,5.0,0.5555555555555556,0.30723965078727006,-0.43583597245614325,0.8746721994829022,2.4722222222222223,2.55,2.375,616.4861111111111,339.25,4.288358634467116,noise_high
10,6.0,0.7638888888888888,1.4759096252110577,-0.22946675349617224,0.712716046138905,3.4583333333333335,3.5272727272727273,3.235294117647059,589.4861111111111,253.83333333333334,4.288358634467116,noise_low
10,7.0,0.7083333333333334,1.1052170494915392,-0.12188122545031208,0.8739735137841343,3.125,3.2941176470588234,2.7142857142857144,643.4583333333334,307.56944444444446,4.288358634467116,tilt_low
10,8.0,0.9027777777777778,2.603634475947988,-0.081176889126644,0.8094866908641968,3.6805555555555554,3.6923076923076925,3.5714285714285716,520.5138888888889,442.0833333333333,4.288358634467116,tilt_high
10,9.0,0.8125,1.8869987264663326,-0.354043565383388,0.5126921266293151,3.2777777777777777,3.341880341880342,3.0,604.8958333333334,280.6041666666667,4.288358634467116,baseline
11,1.0,0.7222222222222222,1.3603506477292118,-0.5404650249827437,0.47939904607721073,2.4166666666666665,2.5961538461538463,1.95,610.1944444444445,250.05555555555554,4.061338120826827,size_low
11,2.0,0.7777777777777778,2.340120880091896,-1.030350141164086,0.08971261546743944,2.9583333333333335,3.017857142857143,2.75,538.3194444444445,237.02777777777777,4.061338120826827,size_high
11,3.0,0.7222222222222222,1.2957533023246834,-0.43744825691441697,0.5673238220832846,2.8194444444444446,2.826923076923077,2.8,562.0416666666666,226.08333333333334,4.061338120826827,dur_low
11,4.0,0.7638888888888888,2.054216123937419,-0.8873977630868474,0.16155545942128718,2.9027777777777777,3.036363636363636,2.4705882352941178,617.6527777777778,230.48611111111111,4.061338120826827,dur_high
11,5.0,0.7083333333333334,1.382994127100638,-0.691497063550319,0.38429823361288545,1.8472222222222223,1.8823529411764706,1.7619047619047619,646.375,202.31944444444446,4.061338120826827,noise_high
11,6.0,0.9027777777777778,3.0620447013842065,-0.6693882305179308,0.12877395681135692,3.111111111111111,3.1538461538461537,2.7142857142857144,580.4722222222222,214.04166666666666,4.061338120826827,noise_low
11,7.0,0.6805555555555556,1.0853249080767586,-0.5426624540383793,0.5549012671735114,2.8333333333333335,2.816326530612245,2.869565217391304,540.0416666666666,204.18055555555554,4.061338120826827,tilt_low
11,8.0,0.9583333333333334,3.583404708310672,-0.408708227054698,0.23117807334533252,3.138888888888889,3.2028985507246377,1.6666666666666667,455.4583333333333,193.70833333333334,4.061338120826827,tilt_high
11,9.0,0.7708333333333334,1.6530333464560854,-0.47102625538851167,0.4590380810036019,2.9097222222222223,2.972972972972973,2.696969696969697,539.6875,216.57638888888889,4.061338120826827,baseline
12,1.0,0.5694444444444444,0.35190106738096394,-0.10626561337202628,0.9632955750406066,1.2916666666666667,1.3658536585365855,1.1935483870967742,1034.0694444444443,375.56944444444446,2.87813287753772,size_low
12,2.0,0.7777777777777778,1.5294193475727742,-0.0,1.0,2.9166666666666665,3.1607142857142856,2.0625,796.125,339.93055555555554,2.87813287753772,size_high
12,3.0,0.7083333333333334,1.1052170494915392,0.12188122545031213,1.1441994342256387,2.361111111111111,2.5686274509803924,1.8571428571428572,905.9861111111111,404.6666666666667,2.87813287753772,dur_low
12,4.0,0.7222222222222222,1.1829778093054384,-0.08300084554336257,0.9064783261666816,3.138888888888889,3.3461538461538463,2.6,858.1666666666666,349.7361111111111,2.87813287753772,dur_high
12,5.0,0.5972222222222222,0.49264454131043295,-0.035893876407291775,0.9824725031181736,1.5972222222222223,1.7209302325581395,1.4137931034482758,1030.0555555555557,414.25,2.87813287753772,noise_high
12,6.0,0.7916666666666666,1.674780705926537,-0.24793455511349016,0.6601844526886175,2.7222222222222223,2.807017543859649,2.4,888.4166666666666,360.8611111111111,2.87813287753772,noise_low
12,7.0,0.6111111111111112,0.5781729794278122,0.21940156939545044,1.1352490555547916,2.3055555555555554,2.2954545454545454,2.3214285714285716,938.1111111111111,391.1111111111111,2.87813287753772,tilt_low
