subject_ID,trial_no,stim_condition,answer,percept_resp,conf_resp,correct,percept_rt,conf_rt,stim_size,stim_dur,stim_contrast,stim_tilt_diff,text_stim_condition
24,236,3,1,1,2,1,649.0,278.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,237,5,1,1,1,1,804.0,508.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,238,1,0,0,1,1,811.0,421.0,75.0,100.0,0.75,2.508190700142546,size_low
24,239,9,0,0,1,1,782.0,382.0,150.0,100.0,0.75,2.508190700142546,baseline
24,240,9,0,0,1,1,568.0,477.0,150.0,100.0,0.75,2.508190700142546,baseline
24,241,2,1,0,3,0,613.0,442.0,225.0,100.0,0.75,2.508190700142546,size_high
24,242,2,1,0,3,0,466.0,334.0,225.0,100.0,0.75,2.508190700142546,size_high
24,243,2,1,0,3,0,510.0,302.0,225.0,100.0,0.75,2.508190700142546,size_high
24,244,2,1,0,3,0,451.0,255.0,225.0,100.0,0.75,2.508190700142546,size_high
24,245,3,1,1,2,1,721.0,536.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,246,1,0,1,1,0,794.0,297.0,75.0,100.0,0.75,2.508190700142546,size_low
24,247,2,1,0,1,0,1071.0,596.0,225.0,100.0,0.75,2.508190700142546,size_high
24,248,7,1,0,2,0,635.0,232.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,249,9,1,0,1,0,494.0,2275.0,150.0,100.0,0.75,2.508190700142546,baseline
24,250,6,1,0,4,0,800.0,1045.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,251,1,1,0,1,0,2400.0,1757.0,75.0,100.0,0.75,2.508190700142546,size_low
24,252,6,1,1,2,1,1051.0,507.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,253,6,0,0,2,1,414.0,426.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,254,9,1,0,2,0,536.0,397.0,150.0,100.0,0.75,2.508190700142546,baseline
24,255,9,0,0,2,1,1870.0,441.0,150.0,100.0,0.75,2.508190700142546,baseline
24,256,3,1,0,1,0,666.0,937.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,257,6,0,0,2,1,777.0,323.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,258,8,1,1,3,1,384.0,613.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,259,1,0,1,1,0,1263.0,1093.0,75.0,100.0,0.75,2.508190700142546,size_low
24,260,3,1,1,3,1,966.0,337.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,261,4,0,0,4,1,325.0,380.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,262,6,1,1,3,1,654.0,354.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,263,7,0,1,3,0,1514.0,276.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,264,4,0,1,3,0,886.0,302.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,265,1,1,1,1,1,1277.0,742.0,75.0,100.0,0.75,2.508190700142546,size_low
24,266,9,0,1,3,0,682.0,422.0,150.0,100.0,0.75,2.508190700142546,baseline
24,267,4,0,1,3,0,798.0,250.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,268,4,0,0,4,1,408.0,282.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,269,2,0,0,4,1,571.0,235.0,225.0,100.0,0.75,2.508190700142546,size_high
24,270,6,0,0,4,1,1151.0,497.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,271,2,1,1,3,1,516.0,392.0,225.0,100.0,0.75,2.508190700142546,size_high
24,272,5,1,1,1,1,1125.0,933.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,273,8,0,0,4,1,830.0,323.0,150.0,100.0,0.75,5.016381400285092,tilt_high
