subj_no,stim_cond,percept_acc,d-prime,c,beta,conf,c_conf,ic_conf,percept_rt,conf_rt,threshold
5,2.0,0.83,2.521447709746331,-0.7930250557586571,0.13539332601277315,2.66,2.783132530120482,2.0588235294117645,365.79,521.57,2.921709725415934
5,3.0,0.68,1.3528801154550028,-0.8783335368693521,0.30474498198299915,2.53,2.5441176470588234,2.5,364.22,523.17,2.921709725415934
5,4.0,0.77,2.4267815945523106,-1.1129570767646855,0.06714480323386114,2.46,2.7142857142857144,1.608695652173913,411.6,506.35,2.921709725415934
5,5.0,0.65,1.3382229418107643,-1.081574600346787,0.23518379986288174,2.31,2.4307692307692306,2.085714285714286,394.9,546.47,2.921709725415934
5,6.0,0.71,1.4050715603096329,-0.7025357801548164,0.3726509662301445,2.42,2.6338028169014085,1.896551724137931,408.96,531.06,2.921709725415934
5,7.0,0.58,0.6382061601516834,-0.9624484854687587,0.5410516397679461,2.41,2.6206896551724137,2.119047619047619,401.08,547.23,2.921709725415934
5,8.0,0.85,2.636590417903039,-0.7354537016803031,0.143834753617584,2.95,3.1882352941176473,1.6,309.77,489.5,2.921709725415934
5,9.0,0.7,1.4543398740853837,-0.8276036575541617,0.3001067605536582,2.53,2.642857142857143,2.2666666666666666,426.82,512.8,2.921709725415934
5,10.0,0.72,1.9533151901203527,-1.0770913155716462,0.12197992123278416,2.66,2.861111111111111,2.142857142857143,338.97,457.77,2.921709725415934
5,11.0,0.6,0.8222300530384167,-0.9939565337904246,0.44163967977349683,2.77,3.033333333333333,2.375,373.12,523.8,2.921709725415934
5,12.0,0.74,1.800839654716903,-0.8502662438937177,0.2162774577294767,2.76,2.918918918918919,2.3076923076923075,348.03,542.38,2.921709725415934
5,13.0,0.55,0.40279357787740533,-0.9735900031273874,0.6755988469565836,2.56,2.981818181818182,2.0444444444444443,356.17,506.9,2.921709725415934
5,14.0,0.61,0.9719320873256373,-1.068807550934035,0.3538761258980479,2.25,2.459016393442623,1.9230769230769231,430.85,488.38,2.921709725415934
